CompA	CompB	Pairs	PredictedScore	Structure	GeneExpr	PMID	Maps	Target	Path	ATC
spironolactone	Sunitinib	spironolactone_Sunitinib	0.1316	0.1305	0.5165	0	0	0	0	NA
Famciclovir	luteolin	Famciclovir_luteolin	0.1316	0.1448	NA	0	NA	NA	NA	NA
Erlotinib	foliosidine	Erlotinib_foliosidine	0.1316	0.1582	0.503	NA	NA	NA	NA	NA
piperacillin	Sunitinib	piperacillin_Sunitinib	0.1316	0.2061	0.5007	0	0	0	0	NA
Dasatinib	W-13	Dasatinib_W-13	0.1316	0.1307	0.5135	0	NA	NA	NA	NA
Erlotinib	R-atenolol	Erlotinib_R-atenolol	0.1316	0.1828	0.5012	0	NA	NA	NA	NA
Famciclovir	thioguanosine	Famciclovir_thioguanosine	0.1316	0.1447	NA	0	NA	NA	NA	NA
Famciclovir	moracizine	Famciclovir_moracizine	0.1316	0.1467	NA	0	NA	0	NA	NA
pizotifen	Sunitinib	pizotifen_Sunitinib	0.1316	0.1622	0.509	0	NA	0	0	NA
Erlotinib	homatropine	Erlotinib_homatropine	0.1315	0.2343	0.4955	0	0	0	0	NA
Erlotinib	PNU-0230031	Erlotinib_PNU-0230031	0.1315	NA	0.5182	NA	NA	NA	NA	NA
caffeic acid	Dasatinib	caffeic acid_Dasatinib	0.1315	0.1678	0.5044	0	NA	NA	NA	NA
Erlotinib	tubocurarine chloride	Erlotinib_tubocurarine chloride	0.1314	0.2108	0.4997	0	0	0	0	NA
DL-thiorphan	Sunitinib	DL-thiorphan_Sunitinib	0.1314	0.1743	0.5029	0	NA	NA	NA	NA
Famciclovir	Prestwick-981	Famciclovir_Prestwick-981	0.1314	0.1303	NA	NA	NA	NA	NA	NA
5186223	Sunitinib	5186223_Sunitinib	0.1314	0.2119	0.491	NA	NA	NA	NA	NA
Famciclovir	tacrine	Famciclovir_tacrine	0.1314	0.1586	NA	0	0	0	0	NA
azacyclonol	Dasatinib	azacyclonol_Dasatinib	0.1314	0.0952	0.5233	0	NA	NA	NA	NA
meglumine	Sunitinib	meglumine_Sunitinib	0.1313	0.2125	0.499	0	NA	0	0	NA
Famciclovir	Prestwick-1085	Famciclovir_Prestwick-1085	0.1313	0.1301	NA	NA	NA	NA	NA	NA
ceftazidime	Erlotinib	ceftazidime_Erlotinib	0.1313	0.2072	0.5002	0	0	0	0	NA
Dasatinib	idoxuridine	Dasatinib_idoxuridine	0.1313	0.1366	0.5148	0	0	0	0	NA
rofecoxib	Sunitinib	rofecoxib_Sunitinib	0.1312	0.1667	0.5034	0	0	0	0.25	NA
Famciclovir	rolipram	Famciclovir_rolipram	0.1312	0.1567	NA	0	NA	0	0	NA
Erlotinib	spironolactone	Erlotinib_spironolactone	0.1312	0.172	0.507	0	0	0	0	NA
epiandrosterone	Sunitinib	epiandrosterone_Sunitinib	0.1312	0.1512	0.5081	0	NA	NA	NA	NA
Dasatinib	homatropine	Dasatinib_homatropine	0.1312	0.207	0.5002	0	0	0	0	NA
bretylium tosilate	Erlotinib	bretylium tosilate_Erlotinib	0.1311	0.2011	0.5013	0	0	0	0	NA
Famciclovir	Prestwick-692	Famciclovir_Prestwick-692	0.1311	0.1295	NA	NA	NA	NA	NA	NA
Famciclovir	LY-294002	Famciclovir_LY-294002	0.1311	0.1432	NA	0	NA	NA	NA	NA
Famciclovir	suxibuzone	Famciclovir_suxibuzone	0.1311	0.1453	NA	0	NA	0	NA	NA
Sunitinib	urapidil	Sunitinib_urapidil	0.1311	0.1933	0.5027	0	0	0	0	NA
miconazole	Sunitinib	miconazole_Sunitinib	0.131	0.0531	0.5373	0	0	0	0	NA
Erlotinib	tolfenamic acid	Erlotinib_tolfenamic acid	0.131	0.1843	0.5044	0	0	0	0	NA
Sunitinib	thiocolchicoside	Sunitinib_thiocolchicoside	0.131	0.1935	0.5023	0	NA	0	0	NA
Erlotinib	sulmazole	Erlotinib_sulmazole	0.131	0.2469	0.4881	0	NA	NA	NA	NA
(+)-chelidonine	Erlotinib	(+)-chelidonine_Erlotinib	0.1309	0.1663	0.5043	0	NA	NA	NA	NA
citiolone	Famciclovir	citiolone_Famciclovir	0.1309	0.1448	NA	0	NA	0	NA	NA
ampyrone	Erlotinib	ampyrone_Erlotinib	0.1309	0.1716	0.5031	0	NA	NA	NA	NA
bicuculline	Famciclovir	bicuculline_Famciclovir	0.1309	0.1425	NA	0	NA	NA	NA	NA
carcinine	Famciclovir	carcinine_Famciclovir	0.1309	0.1425	NA	0	NA	NA	NA	NA
Erlotinib	Prestwick-689	Erlotinib_Prestwick-689	0.1309	0.1944	0.4942	NA	NA	NA	NA	NA
Famciclovir	pergolide	Famciclovir_pergolide	0.1308	0.1569	NA	0	0	0	0	NA
dirithromycin	Erlotinib	dirithromycin_Erlotinib	0.1308	0.1515	0.5108	0	NA	0	0	NA
Erlotinib	nifenazone	Erlotinib_nifenazone	0.1308	0.1709	0.5067	0	NA	0	0	NA
Erlotinib	oxybuprocaine	Erlotinib_oxybuprocaine	0.1308	0.1818	0.5048	0	0	0	0	NA
pirinixic acid	Sunitinib	pirinixic acid_Sunitinib	0.1308	0.1823	0.5006	0	NA	NA	NA	NA
cefotetan	Dasatinib	cefotetan_Dasatinib	0.1308	0.1845	0.5042	0	0	0	0	NA
dexibuprofen	Famciclovir	dexibuprofen_Famciclovir	0.1308	0.1567	NA	0	0	0	0	NA
HNMPA-(AM)3	Sunitinib	HNMPA-(AM)3_Sunitinib	0.1308	0.1182	0.5163	0	NA	NA	NA	NA
nadolol	Sunitinib	nadolol_Sunitinib	0.1308	0.2192	0.4976	0	0	0	0	NA
0198306-0000	Erlotinib	0198306-0000_Erlotinib	0.1307	0.0976	0.5189	NA	NA	NA	NA	NA
felodipine	Sunitinib	felodipine_Sunitinib	0.1307	0.1199	0.5174	0	0	0	0.1667	NA
alpha-yohimbine	Erlotinib	alpha-yohimbine_Erlotinib	0.1307	0.1767	0.5018	0	NA	NA	NA	NA
etynodiol	Sunitinib	etynodiol_Sunitinib	0.1307	0.2432	0.493	0	NA	0	0	NA
dorzolamide	Erlotinib	dorzolamide_Erlotinib	0.1307	0.2247	0.4965	0	0	0	0	NA
Dasatinib	pimethixene	Dasatinib_pimethixene	0.1306	0.1399	0.5105	0	NA	NA	NA	NA
Erlotinib	Famciclovir	Erlotinib_Famciclovir	0.1306	0.1561	NA	0	0	0	0	NA
delsoline	Famciclovir	delsoline_Famciclovir	0.1306	0.1418	NA	0	NA	NA	NA	NA
Famciclovir	mimosine	Famciclovir_mimosine	0.1305	0.1415	NA	0	NA	NA	NA	NA
Famciclovir	remoxipride	Famciclovir_remoxipride	0.1305	0.1415	NA	0	NA	NA	NA	NA
Erlotinib	methocarbamol	Erlotinib_methocarbamol	0.1305	0.1719	0.5063	0	NA	0	0	NA
Dasatinib	succinylsulfathiazole	Dasatinib_succinylsulfathiazole	0.1305	0.1588	0.5093	0	0	0	0	NA
benzathine benzylpenicillin	Erlotinib	benzathine benzylpenicillin_Erlotinib	0.1305	0.2922	0.4846	0	NA	0	0	NA
Erlotinib	remoxipride	Erlotinib_remoxipride	0.1305	0.1561	0.5064	0	NA	NA	NA	NA
deferoxamine	Sunitinib	deferoxamine_Sunitinib	0.1305	0.1426	0.5126	0	NA	0	0	NA
Famciclovir	homatropine	Famciclovir_homatropine	0.1305	0.1332	NA	0	0	0	0	0.4
Erlotinib	pirenzepine	Erlotinib_pirenzepine	0.1305	0.2327	0.495	0	0	0	0	NA
Dasatinib	ethosuximide	Dasatinib_ethosuximide	0.1304	0.1588	0.5028	0	0	0	0.1667	NA
disulfiram	Erlotinib	disulfiram_Erlotinib	0.1304	0.1102	0.5204	0	NA	0	0	NA
methocarbamol	Sunitinib	methocarbamol_Sunitinib	0.1304	0.1778	0.505	0	NA	0	0	NA
cefoxitin	Sunitinib	cefoxitin_Sunitinib	0.1303	0.1974	0.5014	0	0	0	0	NA
Famciclovir	quipazine	Famciclovir_quipazine	0.1303	0.141	NA	0	NA	NA	NA	NA
cinnarizine	Sunitinib	cinnarizine_Sunitinib	0.1303	0.2244	0.4963	0	0	0	0	NA
CP-690334-01	Erlotinib	CP-690334-01_Erlotinib	0.1303	NA	0.5174	NA	NA	NA	NA	NA
fenofibrate	Sunitinib	fenofibrate_Sunitinib	0.1303	0.099	0.5235	0	0	0	0	NA
bisacodyl	Dasatinib	bisacodyl_Dasatinib	0.1303	0.1802	0.5044	0	NA	0	0	NA
Famciclovir	procainamide	Famciclovir_procainamide	0.1303	0.1441	NA	0	0	0	NA	NA
pirlindole	Sunitinib	pirlindole_Sunitinib	0.1302	0.1358	0.514	0	NA	0	0	NA
chlorphenesin	Sunitinib	chlorphenesin_Sunitinib	0.1302	0.1778	0.5048	0	NA	0	0	NA
Sunitinib	tiapride	Sunitinib_tiapride	0.1302	0.2515	0.4912	0	NA	0	0	NA
Famciclovir	methyldopate	Famciclovir_methyldopate	0.1302	0.1426	NA	0	NA	0	NA	NA
mephentermine	Sunitinib	mephentermine_Sunitinib	0.1301	0.1168	0.5185	0	NA	0	0	NA
ellipticine	Sunitinib	ellipticine_Sunitinib	0.1301	0.0685	0.5308	0	NA	NA	NA	NA
domperidone	Sunitinib	domperidone_Sunitinib	0.1301	0.1514	0.5106	0	0	0	0	NA
cloxacillin	Famciclovir	cloxacillin_Famciclovir	0.1301	0.1401	NA	0	NA	NA	NA	NA
Erlotinib	Prestwick-1085	Erlotinib_Prestwick-1085	0.13	0.1641	0.5002	NA	NA	NA	NA	NA
ofloxacin	Sunitinib	ofloxacin_Sunitinib	0.13	0.2327	0.4946	0	0	0	0	NA
Erlotinib	etilefrine	Erlotinib_etilefrine	0.1299	0.2691	0.488	0	NA	0	0	NA
Erlotinib	flutamide	Erlotinib_flutamide	0.1299	0.1708	0.4989	0	0	0	0.1667	0.2
Erlotinib	quinidine	Erlotinib_quinidine	0.1299	0.1799	0.5005	0	NA	NA	NA	NA
Dasatinib	ticlopidine	Dasatinib_ticlopidine	0.1299	0.116	0.5189	0	0	0	0	NA
5162773	Sunitinib	5162773_Sunitinib	0.1299	0.1771	0.4971	NA	NA	NA	NA	NA
Famciclovir	moxisylyte	Famciclovir_moxisylyte	0.1299	0.1418	NA	0	NA	0	NA	NA
Famciclovir	velnacrine	Famciclovir_velnacrine	0.1299	0.1523	NA	0	NA	0	0	NA
Erlotinib	noretynodrel	Erlotinib_noretynodrel	0.1298	0.1623	0.5078	0	NA	0	0	NA
Erlotinib	pramocaine	Erlotinib_pramocaine	0.1298	0.1778	0.5045	0	NA	0	0	NA
isosorbide	Sunitinib	isosorbide_Sunitinib	0.1298	0.2019	0.4998	0	NA	0	0	NA
Erlotinib	pirenperone	Erlotinib_pirenperone	0.1297	0.1633	0.5075	0	NA	0	0	NA
Famciclovir	irinotecan	Famciclovir_irinotecan	0.1297	0.1426	NA	0	0	0	NA	NA
methacholine chloride	Sunitinib	methacholine chloride_Sunitinib	0.1297	0.1966	0.501	0	0	0	0	NA
Dasatinib	kawain	Dasatinib_kawain	0.1297	0.1627	0.5076	0	NA	0	0	NA
Sunitinib	Trolox C	Sunitinib_Trolox C	0.1296	0.1339	0.5113	0	NA	NA	NA	NA
Dasatinib	gentamicin	Dasatinib_gentamicin	0.1296	0.2014	0.5001	0	0	0	0	NA
dihydrostreptomycin	Erlotinib	dihydrostreptomycin_Erlotinib	0.1296	0.2192	0.4964	0	NA	0	0	NA
7-aminocephalosporanic acid	Famciclovir	7-aminocephalosporanic acid_Famciclovir	0.1295	0.1386	NA	0	NA	NA	NA	NA
estradiol	Famciclovir	estradiol_Famciclovir	0.1295	0.1525	NA	0	0	0	0	NA
ioxaglic acid	Sunitinib	ioxaglic acid_Sunitinib	0.1295	0.2065	0.4987	0	NA	0	0	NA
Dasatinib	deferoxamine	Dasatinib_deferoxamine	0.1295	0.1344	0.5138	0	NA	0	0	NA
acetylsalicylic acid	Famciclovir	acetylsalicylic acid_Famciclovir	0.1295	0.1524	NA	0	0	0	0	NA
piroxicam	Sunitinib	piroxicam_Sunitinib	0.1295	0.1853	0.4945	0	0	0	0.25	NA
Dasatinib	leflunomide	Dasatinib_leflunomide	0.1294	0.0822	0.5252	0	0	0	0	0.2
alfaxalone	Famciclovir	alfaxalone_Famciclovir	0.1294	0.1404	NA	0	NA	0	NA	NA
amiprilose	Famciclovir	amiprilose_Famciclovir	0.1294	0.1404	NA	0	NA	0	NA	NA
clindamycin	Sunitinib	clindamycin_Sunitinib	0.1294	0.1617	0.5076	0	NA	0	0	NA
5279552	Famciclovir	5279552_Famciclovir	0.1294	0.1247	NA	NA	NA	NA	NA	NA
Sunitinib	trioxysalen	Sunitinib_trioxysalen	0.1294	0.1834	0.5031	0	NA	0	0	NA
amikacin	Erlotinib	amikacin_Erlotinib	0.1294	0.2461	0.4918	0	0	0	0	NA
doxycycline	Famciclovir	doxycycline_Famciclovir	0.1293	0.1208	NA	0	0	0	0	0.2
Famciclovir	prednicarbate	Famciclovir_prednicarbate	0.1293	0.1506	NA	0	NA	0	0	NA
cefotetan	Famciclovir	cefotetan_Famciclovir	0.1293	0.1207	NA	0	0	0	0	0.2
Dasatinib	mometasone	Dasatinib_mometasone	0.1293	0.1208	0.517	0	NA	0	0	NA
paroxetine	Sunitinib	paroxetine_Sunitinib	0.1293	0.1452	0.5081	0	NA	NA	NA	NA
Erlotinib	sulfapyridine	Erlotinib_sulfapyridine	0.1293	0.1339	0.5141	0	0	0	0	NA
Erlotinib	fluorocurarine	Erlotinib_fluorocurarine	0.1293	0.1746	0.5011	0	NA	NA	NA	NA
clidinium bromide	Famciclovir	clidinium bromide_Famciclovir	0.1293	0.14	NA	0	NA	0	NA	NA
atropine oxide	Sunitinib	atropine oxide_Sunitinib	0.1293	0.1947	0.4969	NA	NA	0	0	NA
Famciclovir	prednisone	Famciclovir_prednisone	0.1292	0.1378	NA	0	NA	NA	NA	NA
Erlotinib	norfloxacin	Erlotinib_norfloxacin	0.1292	0.2163	0.497	0	0	0	0	NA
Famciclovir	pivmecillinam	Famciclovir_pivmecillinam	0.1292	0.1205	NA	0	0	0	0	0.2
5213008	Erlotinib	5213008_Erlotinib	0.1292	0.1846	0.4948	NA	NA	NA	NA	NA
bromopride	Sunitinib	bromopride_Sunitinib	0.1292	0.171	0.5055	0	NA	0	0	NA
adenosine phosphate	Dasatinib	adenosine phosphate_Dasatinib	0.1292	0.1465	0.5077	0	NA	NA	NA	NA
Famciclovir	fusidic acid	Famciclovir_fusidic acid	0.1292	0.1376	NA	0	NA	0	NA	0.4
bambuterol	Dasatinib	bambuterol_Dasatinib	0.1292	0.2199	0.496	0	NA	0	0	NA
Famciclovir	piperine	Famciclovir_piperine	0.1292	0.1376	NA	0	NA	NA	NA	NA
Famciclovir	pirenzepine	Famciclovir_pirenzepine	0.1292	0.1514	NA	0	0	0	0	NA
chlorpropamide	Sunitinib	chlorpropamide_Sunitinib	0.1292	0.1748	0.505	0	0	0	0	NA
cinoxacin	Erlotinib	cinoxacin_Erlotinib	0.1292	0.1963	0.5007	0	0	0	0	NA
clorsulon	Erlotinib	clorsulon_Erlotinib	0.1291	0.26	0.4889	0	NA	0	0	NA
1,4-chrysenequinone	Dasatinib	1,4-chrysenequinone_Dasatinib	0.1291	0.0879	0.524	0	NA	NA	NA	NA
sertaconazole	Sunitinib	sertaconazole_Sunitinib	0.1291	0.111	0.5193	0	NA	0	0	NA
arachidonyltrifluoromethane	Dasatinib	arachidonyltrifluoromethane_Dasatinib	0.1291	0.2033	0.4949	0	NA	NA	NA	NA
Dasatinib	mesalazine	Dasatinib_mesalazine	0.1291	0.1785	0.5039	0	NA	0	0	NA
cortisone	Famciclovir	cortisone_Famciclovir	0.1291	0.1309	NA	0	0	0	0	0.4
Erlotinib	propoxycaine	Erlotinib_propoxycaine	0.129	0.1846	0.5026	0	NA	0	0	NA
Erlotinib	liothyronine	Erlotinib_liothyronine	0.129	0.1966	0.5005	0	0	0	0	NA
amrinone	Erlotinib	amrinone_Erlotinib	0.129	0.1873	0.5021	0	NA	0	0	NA
Erlotinib	terconazole	Erlotinib_terconazole	0.129	0.1773	0.5043	0	0	0	0	NA
cefadroxil	Dasatinib	cefadroxil_Dasatinib	0.129	0.1821	0.5033	0	0	0	0	NA
LM-1685	Sunitinib	LM-1685_Sunitinib	0.129	0.0746	0.5281	0	NA	NA	NA	NA
alpha-ergocryptine	Dasatinib	alpha-ergocryptine_Dasatinib	0.129	0.0309	0.5428	0	NA	NA	NA	NA
eucatropine	Famciclovir	eucatropine_Famciclovir	0.1289	0.1506	NA	0	0	0	0	NA
dioxybenzone	Erlotinib	dioxybenzone_Erlotinib	0.1289	0.1494	0.5099	0	NA	0	0	NA
Dasatinib	terconazole	Dasatinib_terconazole	0.1289	0.1865	0.5024	0	0	0	0	NA
Famciclovir	paroxetine	Famciclovir_paroxetine	0.1289	0.1367	NA	0	NA	NA	NA	NA
Erlotinib	Prestwick-981	Erlotinib_Prestwick-981	0.1289	0.1443	0.5042	NA	NA	NA	NA	NA
arcaine	Famciclovir	arcaine_Famciclovir	0.1289	0.1367	NA	0	NA	NA	NA	NA
ondansetron	Sunitinib	ondansetron_Sunitinib	0.1289	0.211	0.4977	0	0	0	0	NA
Famciclovir	nadide	Famciclovir_nadide	0.1288	0.1388	NA	0	NA	0	NA	NA
Famciclovir	oxamniquine	Famciclovir_oxamniquine	0.1288	0.1388	NA	0	NA	0	NA	NA
5211181	Sunitinib	5211181_Sunitinib	0.1288	0.1381	0.5059	NA	NA	NA	NA	NA
betaxolol	Erlotinib	betaxolol_Erlotinib	0.1288	0.1926	0.5011	0	0	0	0	NA
Famciclovir	pindolol	Famciclovir_pindolol	0.1288	0.1501	NA	0	0	0	0	NA
diclofenac	Sunitinib	diclofenac_Sunitinib	0.1288	0.1906	0.5015	0	0	0	0	NA
droperidol	Famciclovir	droperidol_Famciclovir	0.1287	0.15	NA	0	0	0	0	NA
Famciclovir	omeprazole	Famciclovir_omeprazole	0.1287	0.15	NA	0	0	0	0	NA
Famciclovir	progesterone	Famciclovir_progesterone	0.1287	0.15	NA	0	0	0	0	NA
Famciclovir	proglumide	Famciclovir_proglumide	0.1287	0.15	NA	0	0	0	0	NA
dyclonine	Erlotinib	dyclonine_Erlotinib	0.1287	0.1741	0.5045	0	NA	0	0	NA
Dasatinib	gibberellic acid	Dasatinib_gibberellic acid	0.1287	0.2	0.4952	0	NA	NA	NA	NA
Famciclovir	metitepine	Famciclovir_metitepine	0.1287	0.1362	NA	0	NA	NA	NA	NA
bepridil	Famciclovir	bepridil_Famciclovir	0.1286	0.1496	NA	0	0	0	0	NA
Dasatinib	PF-00539758-00	Dasatinib_PF-00539758-00	0.1286	NA	0.5161	NA	NA	NA	NA	NA
Erlotinib	SR-95531	Erlotinib_SR-95531	0.1286	0.2008	0.495	0	NA	NA	NA	NA
Erlotinib	triflupromazine	Erlotinib_triflupromazine	0.1286	0.1718	0.5052	0	0	0	0	NA
exisulind	Famciclovir	exisulind_Famciclovir	0.1286	0.1359	NA	0	NA	NA	NA	NA
Famciclovir	N-acetyl-L-aspartic acid	Famciclovir_N-acetyl-L-aspartic acid	0.1286	0.1359	NA	0	NA	NA	NA	NA
Dasatinib	lobeline	Dasatinib_lobeline	0.1286	0.1564	0.5081	0	NA	0	0	NA
corynanthine	Sunitinib	corynanthine_Sunitinib	0.1285	0.1921	0.4967	0	NA	NA	NA	NA
Famciclovir	palmatine	Famciclovir_palmatine	0.1285	0.1356	NA	0	NA	NA	NA	NA
Dasatinib	fluorometholone	Dasatinib_fluorometholone	0.1284	0.186	0.5019	0	NA	0	0	NA
Dasatinib	sulindac	Dasatinib_sulindac	0.1284	0.1662	0.4985	0	0	0	0.1667	NA
alcuronium chloride	Sunitinib	alcuronium chloride_Sunitinib	0.1284	0.2206	0.4953	0	NA	0	0	NA
Famciclovir	R-atenolol	Famciclovir_R-atenolol	0.1284	0.1353	NA	0	NA	NA	NA	NA
doxepin	Erlotinib	doxepin_Erlotinib	0.1284	0.1599	0.5072	0	NA	0	0	NA
atropine	Sunitinib	atropine_Sunitinib	0.1284	0.184	0.5025	0	0	0	0	NA
chlorhexidine	Famciclovir	chlorhexidine_Famciclovir	0.1284	0.1301	NA	0	NA	0	NA	0.3333
5155877	Sunitinib	5155877_Sunitinib	0.1283	0.1191	0.5108	NA	NA	NA	NA	NA
corbadrine	Sunitinib	corbadrine_Sunitinib	0.1283	0.1566	0.5079	0	NA	0	0	NA
aciclovir	Dasatinib	aciclovir_Dasatinib	0.1283	0.1244	0.5157	0	0	0	0	NA
lactobionic acid	Sunitinib	lactobionic acid_Sunitinib	0.1283	0.1689	0.5017	0	NA	NA	NA	NA
Dasatinib	gliclazide	Dasatinib_gliclazide	0.1283	0.1857	0.5021	0	0	0	0	NA
cyclopenthiazide	Sunitinib	cyclopenthiazide_Sunitinib	0.1283	0.1582	0.5075	0	NA	0	0	NA
4,5-dianilinophthalimide	Dasatinib	4,5-dianilinophthalimide_Dasatinib	0.1282	0.1373	0.5093	0	NA	NA	NA	NA
cefalotin	Erlotinib	cefalotin_Erlotinib	0.1282	0.1317	0.5138	0	0	0	0	NA
drofenine	Famciclovir	drofenine_Famciclovir	0.1282	0.1348	NA	0	NA	NA	NA	NA
Famciclovir	lansoprazole	Famciclovir_lansoprazole	0.1282	0.1482	NA	0	0	0	0	NA
Erlotinib	Prestwick-1100	Erlotinib_Prestwick-1100	0.1282	0.1944	0.4964	NA	0	0	0	NA
Dasatinib	remoxipride	Dasatinib_remoxipride	0.1282	0.1465	0.5069	0	NA	NA	NA	NA
Famciclovir	pirlindole	Famciclovir_pirlindole	0.1281	0.1466	NA	0	NA	0	0	NA
Famciclovir	trimetazidine	Famciclovir_trimetazidine	0.1281	0.1367	NA	0	NA	0	NA	NA
Dasatinib	liothyronine	Dasatinib_liothyronine	0.1281	0.1897	0.5012	0	0	0	0	NA
Famciclovir	testosterone	Famciclovir_testosterone	0.1281	0.1379	NA	0	0	0	NA	NA
Dasatinib	LM-1685	Dasatinib_LM-1685	0.128	0.0895	0.5228	0	NA	NA	NA	NA
Famciclovir	N-acetyl-L-leucine	Famciclovir_N-acetyl-L-leucine	0.128	0.1341	NA	0	NA	NA	NA	NA
Dasatinib	fasudil	Dasatinib_fasudil	0.128	0.1733	0.5004	0	NA	NA	NA	NA
Famciclovir	parthenolide	Famciclovir_parthenolide	0.128	0.1341	NA	0	NA	NA	NA	NA
Famciclovir	Y-27632	Famciclovir_Y-27632	0.128	0.1341	NA	0	NA	NA	NA	NA
cefoperazone	Sunitinib	cefoperazone_Sunitinib	0.1279	0.1471	0.5066	0	NA	NA	NA	NA
Famciclovir	tyrphostin AG-825	Famciclovir_tyrphostin AG-825	0.1279	0.1206	NA	NA	NA	NA	NA	NA
bufexamac	Famciclovir	bufexamac_Famciclovir	0.1279	0.1362	NA	0	NA	0	NA	NA
lidoflazine	Sunitinib	lidoflazine_Sunitinib	0.1279	0.1362	0.5122	0	NA	0	0	NA
Famciclovir	oxyphenbutazone	Famciclovir_oxyphenbutazone	0.1279	0.1279	NA	0	NA	0	0	0.4
Erlotinib	thalidomide	Erlotinib_thalidomide	0.1279	0.127	0.5063	0	0	0	0	0.2
salsolinol	Sunitinib	salsolinol_Sunitinib	0.1278	0.1966	0.4952	0	NA	NA	NA	NA
(-)-atenolol	Erlotinib	(-)-atenolol_Erlotinib	0.1278	0.2063	0.4975	0	NA	0	0	NA
amikacin	Dasatinib	amikacin_Dasatinib	0.1278	0.1993	0.4991	0	0	0	0	NA
Erlotinib	fisetin	Erlotinib_fisetin	0.1278	0.0602	0.5321	0	NA	NA	NA	NA
cimetidine	Famciclovir	cimetidine_Famciclovir	0.1278	0.1469	NA	0	0	0	0	NA
sulfapyridine	Sunitinib	sulfapyridine_Sunitinib	0.1278	0.1016	0.5212	0	0	0	0	NA
Dasatinib	rolitetracycline	Dasatinib_rolitetracycline	0.1278	0.1951	0.4996	0	NA	0	0	NA
Sunitinib	tetrahydroalstonine	Sunitinib_tetrahydroalstonine	0.1278	0.1925	0.496	0	NA	NA	NA	NA
scopoletin	Sunitinib	scopoletin_Sunitinib	0.1277	0.1882	0.4969	0	NA	NA	NA	NA
CAY-10397	Famciclovir	CAY-10397_Famciclovir	0.1277	0.1201	NA	NA	NA	NA	NA	NA
Famciclovir	gentamicin	Famciclovir_gentamicin	0.1277	0.1202	NA	0	0	0	0	0.3
Famciclovir	idoxuridine	Famciclovir_idoxuridine	0.1277	0.1129	NA	0	0	0	NA	0.8
dinoprost	Sunitinib	dinoprost_Sunitinib	0.1277	0.1889	0.4967	0	NA	NA	NA	NA
hycanthone	Sunitinib	hycanthone_Sunitinib	0.1277	0.069	0.53	0	NA	0	0	NA
Famciclovir	meticrane	Famciclovir_meticrane	0.1277	0.1367	NA	0	0	0	NA	NA
aciclovir	Famciclovir	aciclovir_Famciclovir	0.1277	0.1126	NA	0	0	0	NA	0.8
Erlotinib	proxymetacaine	Erlotinib_proxymetacaine	0.1276	0.1778	0.5032	0	0	0	0	NA
0198306-0000	Dasatinib	0198306-0000_Dasatinib	0.1275	0.0992	0.5161	NA	NA	NA	NA	NA
6-bromoindirubin-3'-oxime	Sunitinib	6-bromoindirubin-3'-oxime_Sunitinib	0.1275	0.1886	0.4966	0	NA	NA	NA	NA
propantheline bromide	Sunitinib	propantheline bromide_Sunitinib	0.1275	0.147	0.5098	0	0	0	0	NA
cimetidine	Dasatinib	cimetidine_Dasatinib	0.1275	0.1162	0.5172	0	0	0	0	NA
Famciclovir	propranolol	Famciclovir_propranolol	0.1275	0.1459	NA	0	0	0	0	NA
cinchonidine	Sunitinib	cinchonidine_Sunitinib	0.1275	0.1494	0.5057	0	NA	NA	NA	NA
Famciclovir	Prestwick-685	Famciclovir_Prestwick-685	0.1275	0.1195	NA	NA	NA	NA	NA	NA
Famciclovir	Prestwick-665	Famciclovir_Prestwick-665	0.1275	0.1194	NA	NA	NA	NA	NA	NA
ketanserin	Sunitinib	ketanserin_Sunitinib	0.1275	0.1236	0.5153	0	0	0	0	NA
Famciclovir	meptazinol	Famciclovir_meptazinol	0.1275	0.1445	NA	0	NA	0	0	NA
imidurea	Sunitinib	imidurea_Sunitinib	0.1275	0.1759	0.4993	NA	NA	0	0	NA
glycopyrronium bromide	Sunitinib	glycopyrronium bromide_Sunitinib	0.1274	0.1779	0.5027	0	NA	0	0	NA
cinoxacin	Sunitinib	cinoxacin_Sunitinib	0.1274	0.19	0.5006	0	0	0	0	NA
demeclocycline	Sunitinib	demeclocycline_Sunitinib	0.1273	0.1362	0.5121	0	0	0	0	NA
Prestwick-689	Sunitinib	Prestwick-689_Sunitinib	0.1273	0.1429	0.5033	NA	NA	NA	NA	NA
AG-028671	Sunitinib	AG-028671_Sunitinib	0.1273	NA	0.5152	NA	NA	NA	NA	NA
carcinine	Dasatinib	carcinine_Dasatinib	0.1273	0.1858	0.497	0	NA	NA	NA	NA
Famciclovir	hydroxyachillin	Famciclovir_hydroxyachillin	0.1272	0.132	NA	0	NA	NA	NA	NA
Famciclovir	triprolidine	Famciclovir_triprolidine	0.1272	0.132	NA	0	NA	NA	NA	NA
Famciclovir	monocrotaline	Famciclovir_monocrotaline	0.1272	0.132	NA	0	NA	NA	NA	NA
drofenine	Erlotinib	drofenine_Erlotinib	0.1272	0.1579	0.5033	0	NA	NA	NA	NA
biperiden	Famciclovir	biperiden_Famciclovir	0.1271	0.1448	NA	0	0	0	0	NA
butein	Sunitinib	butein_Sunitinib	0.1271	0.0852	0.5236	0	NA	NA	NA	NA
Sunitinib	zaprinast	Sunitinib_zaprinast	0.1271	0.1779	0.4987	0	NA	NA	NA	NA
cimetidine	Erlotinib	cimetidine_Erlotinib	0.1271	0.1314	0.5131	0	0	0	0	NA
